Accession_number	Accession_code
1	SRX445978
2	SRX2190798
3	SRX248687
4	SRX446038
5	SRX446013
6	SRX248737
7	SRX446131
8	SRX445894
9	SRX445950
10	SRX446060
11	SRX445953
12	SRX248660
13	SRX248719
14	SRX248722
15	SRX248671
16	SRX2190735
17	SRX248681
18	SRX2190782
19	SRX248696
20	SRX2190759
21	SRX248688
22	SRX1664656
23	SRX248728
24	SRX248613
25	SRX445987
26	SRX446078
27	SRX1664642
28	SRX248692
29	SRX248755
30	SRX445976
31	SRX445901
32	SRX446066
33	SRX445918
34	SRX446081
35	SRX248675
36	SRX446152
37	SRX248633
38	SRX445959
39	SRX445904
40	SRX446033
41	SRX248698
42	SRX446135
43	SRX248746
44	SRX248738
45	SRX2190723
46	SRX248727
47	SRX1664613
48	SRX445936
49	SRX446150
50	SRX446073
51	SRX445941
52	SRX248739
53	SRX248672
54	SRX248709
55	SRX446148
56	SRX446075
57	SRX248615
58	SRX445970
59	SRX446153
60	SRX446104
61	SRX2190730
62	SRX446053
63	SRX446116
64	SRX248747
65	SRX446077
66	SRX445937
67	SRX445914
68	SRX2190814
69	SRX445907
70	SRX255719
71	SRX445949
72	SRX446154
73	SRX248652
74	SRX445946
75	SRX445910
76	SRX446005
77	SRX446003
78	SRX446058
79	SRX445971
80	SRX2190817
81	SRX446046
82	SRX446128
83	SRX445931
84	SRX446137
85	SRX2190717
86	SRX248715
87	SRX1665118
88	SRX446140
89	SRX446090
90	SRX446124
91	SRX248673
92	SRX445877
93	SRX446076
94	SRX446096
95	SRX2190772
96	SRX2190796
97	SRX1664856
98	SRX2190724
99	SRX1665073
100	SRX248753
101	SRX446006
102	SRX445916
103	SRX248729
104	SRX2190728
105	SRX248733
106	SRX2190763
107	SRX248619
108	SRX446001
109	SRX446133
110	SRX2190722
111	SRX2190738
112	SRX446027
113	SRX445965
114	SRX1664662
115	SRX2190790
116	SRX445888
117	SRX248756
118	SRX445958
119	SRX2190746
120	SRX446049
121	SRX446044
122	SRX2190751
123	SRX446105
124	SRX446054
125	SRX445980
126	SRX445981
127	SRX248707
128	SRX445973
129	SRX1664842
130	SRX248654
131	SRX446067
132	SRX2190768
133	SRX2190737
134	SRX1664558
135	SRX248716
136	SRX446036
137	SRX446095
138	SRX446009
139	SRX445929
140	SRX445912
141	SRX248749
142	SRX2190725
143	SRX248732
144	SRX445882
145	SRX446092
146	SRX248762
147	SRX2190716
148	SRX446125
149	SRX2190791
150	SRX1665105
151	SRX445961
152	SRX248623
153	SRX248757
154	SRX1665074
155	SRX1664907
156	SRX2190744
157	SRX2190731
158	SRX2190726
159	SRX446088
160	SRX2190802
161	SRX2190780
162	SRX2190766
163	SRX1665117
164	SRX446070
165	SRX446109
166	SRX446064
167	SRX445985
168	SRX2190760
169	SRX445988
170	SRX1664647
171	SRX446000
172	SRX445966
173	SRX445944
174	SRX446061
175	SRX2190777
176	SRX2190819
177	SRX248634
178	SRX248742
179	SRX445995
180	SRX2190804
181	SRX1665083
182	SRX2190767
183	SRX248663
184	SRX2190810
185	SRX445899
186	SRX446083
187	SRX248701
188	SRX1664802
189	SRX1665066
190	SRX2190821
191	SRX445939
192	SRX248684
193	SRX2190741
194	SRX248726
195	SRX2190727
196	SRX248636
197	SRX1664948
198	SRX446129
199	SRX446091
200	SRX1664502
201	SRX2190779
202	SRX1664947
203	SRX1664960
204	SRX1664730
205	SRX1664840
206	SRX1664514
207	SRX1664591
208	SRX248745
209	SRX1665086
210	SRX1664643
211	SRX2190745
212	SRX2190774
213	SRX2190762
214	SRX1664901
215	SRX445956
216	SRX1664655
217	SRX2190812
218	SRX2190818
219	SRX1664974
220	SRX1664599
221	SRX2190750
222	SRX1664931
223	SRX1664886
224	SRX248674
225	SRX446111
226	SRX445962
227	SRX445934
228	SRX445969
229	SRX446157
230	SRX1664587
231	SRX248714
