x	Average_GainRate	All_Max_GainRate	All_Min_GainRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_GainRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_GainRate	Schmitz_Max_GainRate	Schmitz_Min_GainRate	InitialStateU_Becker	InitialStateM_Becker	Becker_GainRate	Becker_Max_GainRate	Becker_Min_GainRate	Line79_GainRate
1	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	NA
2	1.12282375113427e-05	1.64990708418e-05	6.94697719654735e-06	2230	48	1.05513057240834e-05	2071	65	1.19531153842512e-05	1.37283305403282e-05	1.04145955823179e-05	1129	17	1.11802914256934e-05	1.64990708418e-05	6.94697719654735e-06	1.82358151409368e-05
3	1.41435708558268e-05	2.00977251887302e-05	5.1180565033438e-06	3440	236	1.5389876880985e-05	3122	240	1.60938814987879e-05	2.00977251887302e-05	1.09909434625868e-05	1724	51	1.09469541877076e-05	1.64915153996633e-05	5.1180565033438e-06	2.4452936627087e-05
4	1.31307468397772e-05	1.74503458341265e-05	4.75918522748905e-06	2413	239	1.21888788669218e-05	2226	325	1.43139016612934e-05	1.71766819935521e-05	1.05702658421859e-05	1236	75	1.28894599911162e-05	1.74503458341265e-05	4.75918522748905e-06	1.66571482962117e-05
5	1.50890896142272e-05	2.11524650000492e-05	4.77308742386926e-06	2084	189	1.55244439426442e-05	1993	204	1.70941432267839e-05	2.11524650000492e-05	1.52494515116634e-05	1027	35	1.26486816732535e-05	1.81377322107032e-05	4.77308742386926e-06	8.59155736296466e-06
6	1.33159494683944e-05	2.0167323731085e-05	6.50558830035e-06	3180	297	1.10987791342952e-05	2914	332	1.65697713539774e-05	1.95136393610292e-05	1.41305664338488e-05	1507	82	1.22792979169106e-05	2.0167323731085e-05	6.50558830035e-06	9.758382450525e-06
7	1.38410494835797e-05	1.81319839763863e-05	9.99615532487505e-06	2548	182	1.26973866469665e-05	2325	253	1.62344507695551e-05	1.81319839763863e-05	1.5180265654649e-05	1275	49	1.25913110342176e-05	1.53787004998078e-05	9.99615532487505e-06	1.84544405997693e-05
8	1.38322202807267e-05	2.24456094784602e-05	7.21466018950507e-06	2630	215	1.11831804965332e-05	2469	255	1.57839563528935e-05	1.9059871822362e-05	1.23095005519421e-05	1223	67	1.45295239927533e-05	2.24456094784602e-05	7.21466018950507e-06	2.32472383884052e-05
9	1.5033460967122e-05	2.16031925590749e-05	9.09876711705564e-06	2725	223	1.51106314085267e-05	2496	296	1.74789467068879e-05	2.16031925590749e-05	1.57114127702363e-05	1293	74	1.25108047859515e-05	1.66810730479353e-05	9.09876711705564e-06	2.72963013511669e-05
10	1.71297631411106e-05	2.39120038259206e-05	9.52677890944364e-06	2320	225	2.02839756592292e-05	2173	257	1.70316631024246e-05	2.39120038259206e-05	1.30839266217301e-05	1132	65	1.40736506616781e-05	1.90535578188873e-05	9.52677890944364e-06	1.81874870089379e-05
11	1.36217819606656e-05	2.11457131872357e-05	7.68935024990388e-06	2284	249	1.03018440300814e-05	2121	295	1.69869928169288e-05	1.84892438823714e-05	1.57158573000157e-05	1020	75	1.35765090349865e-05	2.11457131872357e-05	7.68935024990388e-06	1.15340253748558e-05
12	1.22646330281458e-05	2.0252936675818e-05	6.30702602699407e-06	2798	386	6.30702602699407e-06	2614	457	1.65961564426842e-05	2.0252936675818e-05	1.23767946352221e-05	1341	111	1.38907166147593e-05	1.82772587036306e-05	7.31090348145224e-06	1.68150780073401e-05
13	1.52503335927364e-05	2.34681073210916e-05	4.07647466470996e-06	2202	421	1.4692525511567e-05	2047	545	1.83194919394235e-05	2.34681073210916e-05	1.34103470406238e-05	962	144	1.27389833272186e-05	1.83441359911948e-05	4.07647466470996e-06	9.17206799559741e-06
14	1.82733377834767e-05	2.35428648303232e-05	7.56734940974675e-06	2348	515	1.87894578615092e-05	2204	601	1.879381516672e-05	2.00170812426604e-05	1.73481370769723e-05	1166	183	1.72367403222009e-05	2.35428648303232e-05	7.56734940974675e-06	1.68163320216594e-05
15	1.23732105455867e-05	2.04248366013072e-05	7.87313013159375e-06	2615	659	7.87313013159375e-06	2410	811	1.51533642502644e-05	1.70856724432512e-05	1.38312586445367e-05	1200	261	1.4093137254902e-05	2.04248366013072e-05	9.80392156862745e-06	1.96078431372549e-05
16	1.52477088149348e-05	2.19082046226312e-05	4.6376166360584e-06	2348	563	1.25263052410061e-05	2148	713	1.80286267207069e-05	2.19082046226312e-05	1.50618906780589e-05	1057	244	1.51881944830913e-05	2.13330365258686e-05	4.6376166360584e-06	1.57678965625985e-05
17	1.64977231209589e-05	2.22080337562113e-05	4.91671091706492e-06	2119	572	2.22080337562113e-05	1978	784	1.49933583140031e-05	1.88346319316402e-05	1.09042605920022e-05	997	234	1.22917772926623e-05	1.96668436682597e-05	4.91671091706492e-06	1.77001593014337e-05
18	1.4625194895045e-05	2.25688802224389e-05	9.93030729787311e-06	2354	719	1.12449397771003e-05	2225	895	1.77351839612249e-05	2.11500330469266e-05	1.54218990967173e-05	1086	315	1.48954609468097e-05	2.25688802224389e-05	9.93030729787311e-06	1.35413281334633e-05
19	1.46714262810029e-05	2.16183496551873e-05	6.4855048965562e-06	1969	661	1.19499297941625e-05	1852	771	1.73368483462499e-05	1.90572989454961e-05	1.58810824545801e-05	907	291	1.47275007025964e-05	2.16183496551873e-05	6.4855048965562e-06	1.51328447586311e-05
20	1.78725786829059e-05	3.07301889410972e-05	1.31237423080288e-05	2017	720	1.31237423080288e-05	1919	871	1.99245930785029e-05	2.19681410865545e-05	1.63483840644126e-05	989	307	2.0569400662186e-05	3.07301889410972e-05	1.38781498443665e-05	1.98259283490949e-05
21	1.67433128448161e-05	2.35898016569477e-05	1.0379512729057e-05	2265	880	1.29853265809635e-05	2119	1076	1.93163626942046e-05	2.22080337562113e-05	1.57306905773163e-05	1039	392	1.79282492592802e-05	2.35898016569477e-05	1.0379512729057e-05	2.35898016569477e-05
22	1.47618873075925e-05	1.65534623435431e-05	1.01456704686232e-05	1849	914	1.59068494893901e-05	1836	1060	1.44175317185698e-05	1.65534623435431e-05	1.01456704686232e-05	869	415	1.39612807148176e-05	1.57945802026219e-05	1.12818430018728e-05	2.14355017035583e-05
