x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
1	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	NA
2	1.04878663126181e-05	1.43229623393782e-05	9.09504320145521e-06	47	6124	9.12513927844162e-06	65	7330	1.00981729663216e-05	1.1101302731188e-05	9.09504320145521e-06	16	3354	1.22402866930911e-05	1.43229623393782e-05	9.93838203140529e-06	2.22152068937295e-05
3	1.42543952744382e-05	2.26765383233498e-05	9.61044807449615e-06	232	6101	1.15699451391768e-05	238	7753	1.24556465176036e-05	1.37834057910537e-05	9.61044807449615e-06	51	3329	1.87375941665341e-05	2.26765383233498e-05	1.56085263784096e-05	3.09225522591133e-05
4	1.86134593634915e-05	3.26279481681738e-05	1.36491403174278e-05	227	3405	1.38205061760387e-05	298	4597	1.78078627578941e-05	2.17533173809006e-05	1.36491403174278e-05	72	1893	2.42120091565416e-05	3.26279481681738e-05	1.81266378712076e-05	4.45397387692531e-05
5	1.79571997112391e-05	2.60029415827665e-05	1.34704738285301e-05	183	4367	1.5490510378642e-05	188	5313	1.67458287662891e-05	2.02979742621686e-05	1.34704738285301e-05	32	2413	2.16352599887862e-05	2.60029415827665e-05	1.7877022338152e-05	2.76281254316895e-05
6	1.57467183334291e-05	2.28929867335142e-05	1.02456835068446e-05	281	6071	1.25960448419196e-05	306	7368	1.40046518064338e-05	1.91607587660471e-05	1.02456835068446e-05	76	3426	2.06394583519339e-05	2.28929867335142e-05	1.71697400501356e-05	2.94747204193995e-05
7	1.73267750096571e-05	2.2881113547526e-05	1.06642686473384e-05	167	5664	1.76553672316384e-05	231	6803	1.54559839517168e-05	1.97433081714238e-05	1.06642686473384e-05	45	3085	1.8868973845616e-05	2.2881113547526e-05	1.65252486732132e-05	2.987256490927e-05
8	1.76050125722304e-05	2.60225612470764e-05	1.09311028205085e-05	199	5847	1.30786024004266e-05	226	6906	1.73194096636627e-05	2.1010431395263e-05	1.09311028205085e-05	60	3127	2.24170256526019e-05	2.60225612470764e-05	1.56762417151063e-05	3.04119089273061e-05
9	1.77564468630025e-05	2.35500583912407e-05	1.40158702777299e-05	204	5456	1.40158702777299e-05	262	6432	1.84052165642376e-05	2.22539264462004e-05	1.41754462979222e-05	68	3039	2.08482537470401e-05	2.35500583912407e-05	1.64527805199079e-05	3.00021291833614e-05
10	1.8231747216391e-05	2.71201149892876e-05	1.25215649173577e-05	203	4228	1.25215649173577e-05	228	5037	1.87825775535547e-05	2.25780206861383e-05	1.32353914367017e-05	59	2169	2.33910991782605e-05	2.71201149892876e-05	1.89840804925013e-05	3.48041475695857e-05
11	1.95769126485306e-05	3.425145012633e-05	1.23731749566939e-05	230	4041	1.23731749566939e-05	256	4900	2.15586234493798e-05	2.68107242897159e-05	1.28051220488195e-05	66	2204	2.47989395395182e-05	3.425145012633e-05	2.13515533255044e-05	4.53720508166969e-05
12	2.16943104847408e-05	3.06251405267524e-05	1.52310924369748e-05	336	4743	1.67429400602746e-05	390	5600	2.14460784313726e-05	2.55602240896359e-05	1.52310924369748e-05	100	2529	2.68939129625753e-05	3.06251405267524e-05	2.28719403933974e-05	4.6906860806798e-05
13	2.64356588126756e-05	3.59227660529861e-05	1.78455910236677e-05	356	3786	2.17519654454492e-05	470	4395	2.53741997367775e-05	2.94452251890517e-05	1.78455910236677e-05	130	1965	3.21808112558e-05	3.59227660529861e-05	2.69420745397396e-05	5.53809309983535e-05
14	2.64062730121392e-05	3.74235715791693e-05	1.93262995146951e-05	452	3471	2.11839273306557e-05	496	4109	2.71999770947561e-05	3.29262880620732e-05	1.93262995146951e-05	158	1860	3.08349146110057e-05	3.74235715791693e-05	2.63546278726544e-05	6.11427366645583e-05
15	3.09028164375912e-05	3.96025014045073e-05	2.4121184832599e-05	576	3658	2.4121184832599e-05	705	4217	3.31292108970693e-05	3.65002534094026e-05	2.90607113132187e-05	225	2129	3.54580535831054e-05	3.96025014045073e-05	2.85506405474355e-05	6.86136361543208e-05
16	2.83611087697887e-05	3.84224486254679e-05	2.11450550778339e-05	477	2921	2.11450550778339e-05	607	3216	3.11707394400546e-05	3.65817968978636e-05	2.3168471368647e-05	219	1582	3.27675317914777e-05	3.84224486254679e-05	2.54083934458739e-05	5.45350883716318e-05
17	3.4268905428651e-05	4.97934245764194e-05	2.6038128877417e-05	494	2598	2.6038128877417e-05	630	2996	3.67319825126312e-05	4.22131469410194e-05	2.7160396869028e-05	210	1457	4.00366048959048e-05	4.97934245764194e-05	3.22984375630829e-05	6.1232454546678e-05
18	3.25339972452413e-05	4.25429239053134e-05	2.45337003829806e-05	601	2716	2.70726847440007e-05	709	3077	3.56853823752445e-05	4.07832941431366e-05	2.45337003829806e-05	275	1544	3.48439246164787e-05	4.25429239053134e-05	2.79386365945342e-05	5.52423041755562e-05
19	3.43432939469843e-05	4.61846937166287e-05	2.28984327294932e-05	557	2312	2.28984327294932e-05	630	2611	4.1209513295935e-05	4.61846937166287e-05	3.26672223849325e-05	251	1335	3.89219358155247e-05	4.40625688477638e-05	3.01094220459719e-05	6.38907248292575e-05
20	3.0636488167303e-05	4.79265462617294e-05	1.62122726904267e-05	597	2177	1.62122726904267e-05	704	2332	3.81520532741398e-05	4.79265462617294e-05	2.73265395351966e-05	261	1162	3.75451385373426e-05	4.7247814788566e-05	2.78424622861193e-05	7.7621410009787e-05
21	3.60820711841906e-05	5.20426749934947e-05	2.49183006535948e-05	730	2353	2.62493437664058e-05	851	2400	3.79901960784314e-05	4.49346405228758e-05	2.49183006535948e-05	321	1281	4.40066737077345e-05	5.20426749934947e-05	3.52053389661876e-05	7.42373452113086e-05
22	3.65447086359716e-05	5.1062091503268e-05	2.48410174880763e-05	780	1776	2.48410174880763e-05	842	1870	4.03690888119954e-05	4.92817447834749e-05	2.7786515675789e-05	364	960	4.44240196078431e-05	5.1062091503268e-05	3.47222222222222e-05	5.71895424836601e-05
23	4.32130225022349e-05	5.70409982174688e-05	2.97640741550648e-05	767	1529	4.42426807217328e-05	804	1614	4.00903855966178e-05	4.73795466141847e-05	2.97640741550648e-05	335	825	4.53060011883541e-05	5.70409982174688e-05	3.20855614973262e-05	7.24896019013666e-05
24	3.39595134217506e-05	4.81488311102916e-05	2.358747323729e-05	943	1621	2.358747323729e-05	974	1660	4.08988896763525e-05	4.60666194188519e-05	3.36640680368533e-05	454	957	3.73921773516094e-05	4.81488311102916e-05	2.9708853238265e-05	6.96621386276559e-05
25	3.79925747718982e-05	5.12669251081521e-05	2.45800325861003e-05	859	1371	3.00338953962329e-05	900	1396	4.03814821057363e-05	5.12669251081521e-05	2.45800325861003e-05	403	768	4.35623468137255e-05	5.1062091503268e-05	3.70200163398693e-05	7.40400326797386e-05
26	3.72009265773871e-05	5.51901761486455e-05	2.74177467597208e-05	847	1180	2.74177467597208e-05	884	1279	4.29256925600576e-05	5.51901761486455e-05	2.9894678747183e-05	380	698	4.12593404123827e-05	5.33737850441036e-05	2.80914658126861e-05	8.42743974380583e-05
27	3.14509382939888e-05	5.41776135132327e-05	1.40056022408964e-05	941	1260	1.40056022408964e-05	996	1321	4.10042896795357e-05	5.41776135132327e-05	2.67177272120052e-05	437	732	3.93429229615343e-05	5.22340083574413e-05	3.08046715954141e-05	6.96453444765885e-05
28	3.91263953000783e-05	5.73808118565152e-05	3.27890353465801e-05	792	1024	3.44669117647059e-05	868	1066	4.06963911268072e-05	4.69043151969981e-05	3.40286208291947e-05	349	598	4.22158830087219e-05	5.73808118565152e-05	3.27890353465801e-05	6.39386189258312e-05
29	3.32036982469252e-05	5.15027774712136e-05	1.66168162180126e-05	795	923	2.23057803836594e-05	846	944	3.66089232303091e-05	4.88118976404121e-05	1.66168162180126e-05	406	533	4.06963911268072e-05	5.15027774712136e-05	2.57513887356068e-05	7.90935511165066e-05
