x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
1	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	NA
2	2.83544790465206e-05	0.000115340253748558	0	2230	48	0	2071	65	4.90196078431373e-05	6.03318250377074e-05	3.01659125188537e-05	1129	17	3.60438292964245e-05	0.000115340253748558	0	0
3	3.5561547927025e-05	0.000115340253748558	1.63398692810458e-05	3440	236	2.49252243270189e-05	3122	240	3.37009803921569e-05	4.49346405228758e-05	1.63398692810458e-05	1724	51	4.80584390618993e-05	0.000115340253748558	1.92233756247597e-05	1.92233756247597e-05
4	3.71891988923739e-05	5.22875816993464e-05	1.30718954248366e-05	2413	239	4.9224710804824e-05	2226	325	2.6395173453997e-05	3.01659125188537e-05	2.11161387631976e-05	1236	75	3.59477124183007e-05	5.22875816993464e-05	1.30718954248366e-05	3.92156862745098e-05
5	3.01089934884629e-05	5.60224089635854e-05	0	2084	189	1.55617802676626e-05	1993	204	4.32525951557093e-05	4.80584390618993e-05	2.88350634371396e-05	1027	35	3.15126050420168e-05	5.60224089635854e-05	0	5.60224089635854e-05
6	3.91387368816454e-05	7.17360114777618e-05	2.39120038259206e-05	3180	297	2.9708853238265e-05	2914	332	3.83888495157099e-05	4.7247814788566e-05	2.95298842428538e-05	1507	82	4.93185078909613e-05	7.17360114777618e-05	2.39120038259206e-05	7.17360114777618e-05
7	7.5851765658123e-05	0.000113122171945701	2.00080032012805e-05	2548	182	0.000113122171945701	2325	253	4.94071146245059e-05	5.81260172053011e-05	4.26257459505541e-05	1275	49	6.50260104041617e-05	0.000100040016006403	2.00080032012805e-05	0.000120048019207683
8	4.63572381558495e-05	8.77963125548727e-05	1.46327187591454e-05	2630	215	4.10396716826265e-05	2469	255	4.13302575932334e-05	6.15148019992311e-05	1.53787004998078e-05	1223	67	5.67017851916886e-05	8.77963125548727e-05	1.46327187591454e-05	0.000117061750073164
9	6.88443983418924e-05	0.000105513057240834	1.32485426603074e-05	2725	223	0.000105513057240834	2496	296	4.80259671436142e-05	7.61791202967674e-05	3.64334923158453e-05	1293	74	5.29941706412295e-05	9.27397986221516e-05	1.32485426603074e-05	6.62427133015368e-05
10	3.62175167050424e-05	7.54147812971342e-05	0	2320	225	2.61437908496732e-05	2173	257	4.29159990844587e-05	5.72213321126116e-05	2.28885328450446e-05	1132	65	3.95927601809955e-05	7.54147812971342e-05	0	6.03318250377074e-05
11	5.85792822336204e-05	9.15032679738562e-05	1.30718954248366e-05	2284	249	8.26836758799905e-05	2121	295	4.40345629777335e-05	6.64672648720505e-05	2.99102691924227e-05	1020	75	4.90196078431373e-05	9.15032679738562e-05	1.30718954248366e-05	0.000104575163398693
12	4.8157689594328e-05	6.18265324147677e-05	2.78886171536448e-05	2798	386	5.33373971350198e-05	2614	457	3.59334105633501e-05	4.50508430943493e-05	2.78886171536448e-05	1341	111	5.5202261084614e-05	6.18265324147677e-05	3.5329447094153e-05	0.000105988341282459
13	4.96023275149771e-05	7.48910675381264e-05	2.69832703723691e-05	2202	421	4.19170043314238e-05	2047	545	4.90196078431373e-05	5.93631948192121e-05	2.69832703723691e-05	962	144	5.78703703703704e-05	7.48910675381264e-05	4.76579520697168e-05	5.44662309368192e-05
14	5.11595752232093e-05	6.85132622100421e-05	2.6786670952534e-05	2348	515	5.71102227298686e-05	2204	601	5.0161495546638e-05	6.85132622100421e-05	3.26253629571629e-05	1166	183	4.62070073931212e-05	6.42880102860816e-05	2.6786670952534e-05	0.000112504018000643
15	5.24823424252641e-05	7.88821275636691e-05	3.86837842411934e-05	2615	659	4.46309024368473e-05	2410	811	4.89591644302604e-05	5.92345446193274e-05	3.86837842411934e-05	1200	261	6.38569604086845e-05	7.88821275636691e-05	5.25880850424461e-05	6.76132521974307e-05
16	5.3700687678883e-05	8.43780135004822e-05	3.61620057859209e-05	2348	563	5.74652596384913e-05	2148	713	4.53757940763963e-05	5.08758903280807e-05	4.1250721887633e-05	1057	244	5.82610093217615e-05	8.43780135004822e-05	3.61620057859209e-05	6.42880102860816e-05
17	5.12126146754998e-05	7.12250712250712e-05	3.35176805765041e-05	2119	572	5.65610859728507e-05	1978	784	4.47053821528611e-05	5.50220088035214e-05	3.62645058023209e-05	997	234	5.23713759007877e-05	7.12250712250712e-05	3.35176805765041e-05	8.79839115133233e-05
18	4.29195250393906e-05	5.9134765017118e-05	3.42359165888578e-05	2354	719	3.68158389920641e-05	2225	895	4.40902618030452e-05	5.14842808631833e-05	3.50531273962099e-05	1086	315	4.78524743230626e-05	5.9134765017118e-05	3.42359165888578e-05	7.78089013383131e-05
19	4.47749299102699e-05	7.07499494643218e-05	3.36904521258675e-05	1969	661	3.55966895078758e-05	1852	771	4.48233768215457e-05	4.83202360062053e-05	3.81475547417411e-05	907	291	5.3904723401388e-05	7.07499494643218e-05	3.36904521258675e-05	7.74880398894953e-05
20	4.3701253755004e-05	7.02561154755062e-05	3.48934062718084e-05	2017	720	3.67647058823529e-05	1919	871	4.16469687760294e-05	4.95261250309538e-05	3.48934062718084e-05	989	307	5.26920866066296e-05	7.02561154755062e-05	4.15149773264355e-05	9.58037938302357e-05
21	4.89568222242147e-05	7.50300120048019e-05	3.00120048019208e-05	2265	880	5.68181818181818e-05	2119	1076	3.94070267512209e-05	4.46461112325971e-05	3.64458050878344e-05	1039	392	5.06452581032413e-05	7.50300120048019e-05	3.00120048019208e-05	7.7531012404962e-05
22	4.9040205976752e-05	7.55965036617056e-05	3.86150083665851e-05	1849	914	3.86150083665851e-05	1836	1060	5.38753237143914e-05	6.10432852386238e-05	4.62449130595634e-05	869	415	5.46302858492795e-05	7.55965036617056e-05	4.01606425702811e-05	6.85093314434208e-05
23	3.90338682923773e-05	5.57568999163646e-05	2.55552457950005e-05	1842	920	3.19693094629156e-05	1776	1008	4.01202147525677e-05	5.05757858699035e-05	3.4041394335512e-05	837	422	4.50120806616485e-05	5.57568999163646e-05	2.55552457950005e-05	8.13121457113651e-05
24	4.05938508917563e-05	4.99445061043285e-05	3.40523931705154e-05	1952	1129	3.90767467305789e-05	1821	1238	3.76160157116158e-05	4.19715543729608e-05	3.40523931705154e-05	931	530	4.50887902330744e-05	4.99445061043285e-05	3.88457269700333e-05	5.91934887162412e-05
25	4.11133860914762e-05	5.8781542595625e-05	2.89201226213199e-05	1695	1017	2.89201226213199e-05	1633	1106	4.58727794915435e-05	5.0526539729816e-05	3.63436513846045e-05	781	467	4.85472561615653e-05	5.8781542595625e-05	2.93907712978125e-05	4.19868161397321e-05
26	4.52033195559392e-05	6.39386189258312e-05	3.20564192979644e-05	1704	996	3.83888495157099e-05	1630	1101	4.20740503285783e-05	4.98655411301669e-05	3.20564192979644e-05	750	460	5.51470588235294e-05	6.39386189258312e-05	3.41005967604433e-05	7.45950554134697e-05
27	4.45939098890708e-05	5.48594889219226e-05	2.36952787157159e-05	1928	1157	4.8299354313895e-05	1823	1324	4.03560215627036e-05	4.81310348912979e-05	2.36952787157159e-05	943	554	4.51263537906137e-05	5.48594889219226e-05	3.18538967933744e-05	5.8398810787853e-05
28	4.80155442087023e-05	6.62427133015368e-05	2.43003184179655e-05	1693	987	5.06585612968592e-05	1643	1170	4.3154013742249e-05	5.44662309368192e-05	2.43003184179655e-05	733	444	5.02340575869988e-05	6.62427133015368e-05	4.19537184243067e-05	6.18265324147677e-05
29	4.03283011359988e-05	5.74448529411765e-05	2.97619047619048e-05	1719	1047	3.37097589752233e-05	1650	1120	4.17979691876751e-05	5.07703081232493e-05	2.97619047619048e-05	801	512	4.5477175245098e-05	5.74448529411765e-05	3.25520833333333e-05	8.23376225490196e-05
