SRA_Accession	accessionid	Accession name	genome_mCG	Genome_coverage	gbm_gene_mCG	gbm_gene_coverage	Group
SRX1664827	9606	Aitba-1	0.285148595	0.907650395	0.24185539	0.942034205	relict
SRX1664995	9832	Cat-0	0.259508089	0.862706594	0.211054592	0.903940228	relict
SRX1665000	9837	Con-0	0.273226385	0.905850357	0.199015649	0.929612762	relict
SRX1665090	9944	Don-0	0.260930637	0.874563477	0.204464115	0.918240823	relict
SRX1665086	9939	ICE49	0.264508131	0.747974431	0.231427312	0.786417943	relict
SRX1664762	9533	IP-Cem-0	0.243675931	0.828429834	0.17738792	0.870997948	relict
SRX1664769	9542	IP-Fun-0	0.261446593	0.853248472	0.203567571	0.893173101	relict
SRX1664770	9543	IP-Gra-0	0.23178291	0.85074801	0.16750519	0.895528687	relict
SRX1664772	9545	IP-Her-12	0.254543516	0.876769116	0.202405617	0.920148886	relict
SRX1664776	9549	IP-Hum-2	0.243555092	0.876385292	0.169874512	0.919345681	relict
SRX1664777	9550	IP-Iso-4	0.266378471	0.854426422	0.215014998	0.893158877	relict
SRX1664781	9554	IP-Lso-0	0.247584647	0.85527133	0.188810013	0.896937541	relict
SRX1664799	9574	IP-Rel-0	0.279402185	0.747981668	0.197053114	0.731620674	relict
SRX1664808	9583	IP-Sne-0	0.257929825	0.874052789	0.19863258	0.912764288	relict
SRX1664823	9598	IP-Vim-0	0.266668433	0.876753843	0.214896586	0.917647757	relict
SRX1664825	9600	IP-Vis-0	0.24949981	0.875343862	0.180598534	0.916915916	relict
SRX1665029	9869	Moj-0	0.258394835	0.872379048	0.202613887	0.91662782	relict
SRX1665031	9871	Nac-0	0.244768672	0.83622834	0.164038636	0.867650985	relict
SRX1665093	9947	Ped-0	0.240665409	0.917754	0.158080618	0.958474446	relict
SRX1665039	9879	Per-0	0.253720019	0.81204715	0.182768138	0.851337662	relict
SRX1665061	9905	Ven-0	0.274342759	0.921544143	0.214528176	0.961851683	relict
