x	Average_LossRate	All_Max_LossRate	All_Min_LossRate	InitialStateU_Lizzie	InitialStateM_Lizzie	Lizzie_Conservative_LossRate	InitialStateU_Schmitz	InitialStateM_Schmitz	Schmitz_LossRate	Schmitz_Max_LossRate	Schmitz_Min_LossRate	InitialStateU_Becker	InitialStateM_Becker	Becker_LossRate	Becker_Max_LossRate	Becker_Min_LossRate	Line79_LossRate
1	NA	NA	NA	0	0	NA	0	0	NA	NA	NA	0	0	NA	NA	NA	NA
2	1.2193536743658e-05	1.62016409947808e-05	1.02960228166351e-05	86	8749	1.10937048267701e-05	139	12093	1.1431017457839e-05	1.27281541906434e-05	1.02960228166351e-05	27	5083	1.40558879463649e-05	1.62016409947808e-05	1.1765477389067e-05	2.23736947070782e-05
3	1.44314454570611e-05	2.42072137496974e-05	9.61601233672629e-06	332	7856	1.01084221876123e-05	385	11113	1.34094850934165e-05	1.55267722134296e-05	9.61601233672629e-06	64	4536	1.97764290901546e-05	2.42072137496974e-05	1.59940519417644e-05	2.93944738389183e-05
4	2.02972004414774e-05	3.04178950816603e-05	1.41714382200674e-05	326	4394	1.74034110685694e-05	489	6503	1.80911977277456e-05	2.11063973490365e-05	1.41714382200674e-05	106	2514	2.53969925281171e-05	3.04178950816603e-05	2.10585427488418e-05	4.28970315254184e-05
5	1.90972703073552e-05	2.70703214391364e-05	1.3430029546065e-05	297	6054	1.70038282904837e-05	363	8249	1.70549490253126e-05	2.02044692285934e-05	1.3430029546065e-05	58	3513	2.32330336062692e-05	2.70703214391364e-05	1.98143589915328e-05	3.23727555354621e-05
6	1.86878399592106e-05	2.55352346024546e-05	1.11151635144758e-05	431	8292	1.87991260179904e-05	610	11290	1.43932683790965e-05	1.77147918511957e-05	1.11151635144758e-05	116	4876	2.2871125480545e-05	2.55352346024546e-05	1.86990300632148e-05	3.23714391416944e-05
7	1.81754761452064e-05	2.37428876394107e-05	1.07497159003655e-05	292	8043	1.75527129912017e-05	467	10853	1.58309891725971e-05	1.95120893653693e-05	1.07497159003655e-05	70	4666	2.11427262718203e-05	2.37428876394107e-05	1.93304925913786e-05	3.15171074859434e-05
8	1.87604349188708e-05	2.54401567618255e-05	1.27904459840683e-05	330	8288	1.59692255280491e-05	417	10961	1.81570666766844e-05	2.18242574833053e-05	1.27904459840683e-05	91	4663	2.2155012551879e-05	2.54401567618255e-05	1.68199383549259e-05	2.88041444328107e-05
9	1.98112548097757e-05	2.56588752934037e-05	1.4783770000258e-05	326	7663	1.68878722048652e-05	531	9881	1.87277623325416e-05	2.08361859064039e-05	1.4783770000258e-05	111	4394	2.38181298919204e-05	2.56588752934037e-05	2.20889448177997e-05	3.36912188635126e-05
10	2.06161276964179e-05	2.81991991427443e-05	1.4080800105277e-05	308	5760	1.78717320261438e-05	442	7450	1.97723384655876e-05	2.36873272799052e-05	1.4080800105277e-05	95	3129	2.42043125975222e-05	2.81991991427443e-05	1.81728172253241e-05	3.97922032347615e-05
11	2.16972851478438e-05	3.48487932448852e-05	1.43182100616494e-05	352	5487	1.5544763558786e-05	517	7258	2.22540104495918e-05	2.74207230425926e-05	1.43182100616494e-05	116	3179	2.72930814351535e-05	3.48487932448852e-05	2.37465228305855e-05	4.62594600595822e-05
12	2.38347178713774e-05	3.08333742625912e-05	1.6000640025601e-05	515	6475	2.13490801726096e-05	781	8333	2.21185318000955e-05	2.61186918064958e-05	1.6000640025601e-05	171	3593	2.8036541641427e-05	3.08333742625912e-05	2.48304164415557e-05	5.04794180405254e-05
13	2.92026813960618e-05	3.98815345027293e-05	1.94377627135117e-05	580	5184	2.60984023238925e-05	847	6456	2.69167456325777e-05	3.0371504239862e-05	1.94377627135117e-05	216	2827	3.45928962317152e-05	3.98815345027293e-05	2.77436761758117e-05	5.44469644950304e-05
