accession_coverage_ratio	SRA_Accession
0.500928464	SRX445978
0.50273828	SRX2190798
0.503497397	SRX248687
0.503659428	SRX446038
0.503919604	SRX446013
0.504681219	SRX248737
0.506754425	SRX446131
0.506930374	SRX445894
0.507271566	SRX445950
0.507577426	SRX446060
0.509157759	SRX445953
0.510571779	SRX248660
0.512383737	SRX248719
0.512402295	SRX248722
0.512668896	SRX248671
0.514903419	SRX2190735
0.515397362	SRX248681
0.516452345	SRX2190782
0.516657917	SRX248696
0.51666791	SRX2190759
0.518120474	SRX248688
0.518526978	SRX1664656
0.520367845	SRX248728
0.520684054	SRX248613
0.523350063	SRX445987
0.524398622	SRX446078
0.526016429	SRX1664642
0.526189167	SRX248692
0.52664635	SRX248755
0.528164583	SRX445976
0.530566846	SRX445901
0.530632872	SRX446066
0.531379854	SRX445918
0.534783923	SRX446081
0.537200819	SRX248675
0.538341457	SRX446152
0.540242996	SRX248633
0.541120602	SRX445959
0.54355106	SRX445904
0.544296614	SRX446033
0.544737023	SRX248698
0.545591074	SRX446135
0.550641859	SRX248746
0.552182933	SRX248738
0.552299638	SRX2190723
0.553718654	SRX248727
0.556139833	SRX1664613
0.55662307	SRX445936
0.557478548	SRX446150
0.557537793	SRX446073
0.55924982	SRX445941
0.559947194	SRX248739
0.561420815	SRX248672
0.563328064	SRX248709
0.563803449	SRX446148
0.564041855	SRX446075
0.565955886	SRX248615
0.567721447	SRX445970
0.567926662	SRX446153
0.567955928	SRX446104
0.571101604	SRX2190730
0.573163389	SRX446053
0.574921813	SRX446116
0.574938587	SRX248747
0.57506243	SRX446077
0.578289836	SRX445937
0.578609971	SRX445914
0.579785584	SRX2190814
0.58009073	SRX445907
0.580872331	SRX255719
0.582815627	SRX445949
0.583079729	SRX446154
0.583112207	SRX248652
0.584461272	SRX445946
0.58533745	SRX445910
0.586204706	SRX446005
0.586891373	SRX446003
0.586901009	SRX446058
0.586995943	SRX445971
0.588025587	SRX2190817
0.588777922	SRX446046
0.589150878	SRX446128
0.590943921	SRX445931
0.591496395	SRX446137
0.592657733	SRX2190717
0.59453072	SRX248715
0.597345197	SRX1665118
0.597763122	SRX446140
0.599718909	SRX446090
0.600122915	SRX446124
0.600514786	SRX248673
0.602841387	SRX445877
0.603439901	SRX446076
0.603726488	SRX446096
0.605128017	SRX2190772
0.606949254	SRX2190796
0.607662688	SRX1664856
0.607868974	SRX2190724
0.607983537	SRX1665073
0.608304386	SRX248753
0.609639175	SRX446006
0.61026624	SRX445916
0.61053641	SRX248729
0.610923642	SRX2190728
0.61369208	SRX248733
0.614996176	SRX2190763
0.615560784	SRX248619
0.615648581	SRX446001
0.617058318	SRX446133
0.61801908	SRX2190722
0.618384898	SRX2190738
0.618705747	SRX446027
0.620193287	SRX445965
0.620423128	SRX1664662
0.621712234	SRX2190790
0.622176912	SRX445888
0.622356431	SRX248756
0.624322925	SRX445958
0.624671255	SRX2190746
0.625057416	SRX446049
0.625777274	SRX446044
0.626089914	SRX2190751
0.62613524	SRX446105
0.626576363	SRX446054
0.6272227	SRX445980
0.630429406	SRX445981
0.631974049	SRX248707
0.633708204	SRX445973
0.634015135	SRX1664842
0.63514114	SRX248654
0.635205024	SRX446067
0.637814287	SRX2190768
0.638174751	SRX2190737
0.638613732	SRX1664558
0.638618015	SRX248716
0.638750066	SRX446036
0.639386768	SRX446095
0.640937479	SRX446009
0.641268678	SRX445929
0.64162022	SRX445912
0.641871474	SRX248749
0.642930383	SRX2190725
0.644666322	SRX248732
0.644807653	SRX445882
0.644908654	SRX446092
0.646439022	SRX248762
0.648372682	SRX2190716
0.648673545	SRX446125
0.648914092	SRX2190791
0.649222093	SRX1665105
0.649859865	SRX445961
0.650743538	SRX248623
0.651159678	SRX248757
0.651629353	SRX1665074
0.65162971	SRX1664907
0.654280729	SRX2190744
0.654459177	SRX2190731
0.655073394	SRX2190726
0.655701887	SRX446088
0.656022736	SRX2190802
0.65682468	SRX2190780
0.657346104	SRX2190766
0.658928935	SRX1665117
0.659448218	SRX446070
0.659594188	SRX446109
0.660578149	SRX446064
0.661283018	SRX445985
0.661841916	SRX2190760
0.662796611	SRX445988
0.66357964	SRX1664647
0.665424789	SRX446000
0.665578968	SRX445966
0.666648584	SRX445944
0.667595071	SRX446061
0.669711461	SRX2190777
0.670074067	SRX2190819
0.670494489	SRX248634
0.670986291	SRX248742
0.673706905	SRX445995
0.67419728	SRX2190804
0.675357904	SRX1665083
0.676017803	SRX2190767
0.676997124	SRX248663
0.678006782	SRX2190810
0.678697731	SRX445899
0.679255916	SRX446083
0.679466127	SRX248701
0.681029686	SRX1664802
0.681122479	SRX1665066
0.681578948	SRX2190821
0.68214784	SRX445939
0.684380221	SRX248684
0.68525854	SRX2190741
0.686548361	SRX248726
0.686680769	SRX2190727
0.687936684	SRX248636
0.688060884	SRX1664948
0.688172592	SRX446129
0.688557682	SRX446091
0.689314657	SRX1664502
0.689566982	SRX2190779
0.689601601	SRX1664947
0.690366428	SRX1664960
0.690524176	SRX1664730
0.691674807	SRX1664840
0.691874668	SRX1664514
0.692744066	SRX1664591
0.693311173	SRX248745
0.693772638	SRX1665086
0.694991793	SRX1664643
0.695056391	SRX2190745
0.69636477	SRX2190774
0.697692778	SRX2190762
0.697947601	SRX1664901
0.699469404	SRX445956
0.699674618	SRX1664655
0.699964774	SRX2190812
0.7001757	SRX2190818
0.700283125	SRX1664974
0.701293853	SRX1664599
0.701467661	SRX2190750
0.703052277	SRX1664931
0.703142572	SRX1664886
0.703390614	SRX248674
0.703703254	SRX446111
0.70406122	SRX445962
0.704639034	SRX445934
0.705377808	SRX445969
0.705752905	SRX446157
0.706103019	SRX1664587
0.706965279	SRX248714
0.708200851	SRX1665063
0.708703003	SRX2190732
0.71016449	SRX1664951
0.710644514	SRX1665116
0.711115259	SRX248710
0.71249002	SRX1664491
0.715053243	SRX1664697
0.71544797	SRX1664544
0.716482967	SRX445883
0.7173827	SRX2190773
0.717571855	SRX1664568
0.718096134	SRX248758
0.720969856	SRX1664659
0.721122608	SRX248705
0.721983439	SRX446110
0.722918862	SRX248702
0.722998093	SRX1664689
0.723958856	SRX1664813
0.724648735	SRX2190721
0.725087002	SRX1664815
0.725623059	SRX1664992
0.725733697	SRX2190756
0.725797938	SRX1664866
0.726174463	SRX2190797
0.726266542	SRX445913
0.727605613	SRX446048
0.729125631	SRX1664638
0.730148137	SRX1664877
0.731941536	SRX2190781
0.732693158	SRX1664965
0.734152147	SRX1665081
0.735625411	SRX446145
0.736436278	SRX1664809
0.73696591	SRX1664500
0.737200391	SRX248703
0.739703299	SRX1665114
0.739834636	SRX2190803
0.740346067	SRX2190720
0.740582689	SRX1664532
0.744714111	SRX1664963
0.746149901	SRX1664983
0.746821578	SRX248677
0.746948633	SRX1664915
0.747537867	SRX1664883
0.747542864	SRX2190748
0.747634943	SRX1665002
0.747778415	SRX2190807
0.748387636	SRX1664503
0.748954742	SRX248643
0.74909072	SRX2190771
0.750014008	SRX1664481
0.750109656	SRX1664538
0.750736008	SRX1664545
0.750750283	SRX1664926
0.751030089	SRX1664696
0.752545111	SRX1664685
0.752716777	SRX1665088
0.75311543	SRX248748
0.75460761	SRX1664681
0.756110853	SRX1665103
0.75670901	SRX1665024
0.758557728	SRX1665011
0.759045248	SRX1664473
0.759837199	SRX1664961
0.760165542	SRX1664461
0.760473543	SRX1664618
0.76139469	SRX248708
0.76235117	SRX1664858
0.764544293	SRX1664466
0.765053939	SRX1664972
0.765338742	SRX1664941
0.767447994	SRX1664477
0.76818534	SRX1664608
0.769226047	SRX2190754
0.769509779	SRX1665020
0.769716422	SRX1664810
0.769943764	SRX1664976
0.770095088	SRX1664949
0.770198587	SRX1664709
0.771061204	SRX1664939
0.77138812	SRX1664548
0.77281249	SRX1664790
0.773188301	SRX1664900
0.773276097	SRX2190801
0.773371745	SRX1664540
0.774341073	SRX1664780
0.775214753	SRX1664978
0.775569507	SRX1665047
0.776463173	SRX1664633
0.776643049	SRX1664554
0.776821139	SRX1664542
