gene_ID	Chromosome	annotation	type	start	end	unknown	strand	segment_no	mean_h2az	max_h2az
AT1G01030	CHR1	Araport11	gene	11649	13714	.	-	1	3.03799678724866	4.5947979927063
AT1G03997	CHR1	Araport11	gene	32727	33009	.	+	2	4.12568001065935	4.53716201782227
AT1G01070	CHR1	Araport11	gene	38444	41017	.	-	3	3.23417017797254	5.21899003982544
AT1G04003	CHR1	Araport11	gene	43087	43295	.	-	4	2.03555046081543	2.22482602596283
AT1G01100	CHR1	Araport11	gene	49909	51210	.	-	5	2.47719145041925	5.36227397918701
AT1G01120	CHR1	Araport11	gene	57164	59215	.	-	6	3.11860840661185	6.10899603366852
AT1G01130	CHR1	Araport11	gene	61905	63811	.	-	7	2.60293405911861	4.86253802776337
AT1G01160	CHR1	Araport11	gene	72339	74096	.	+	8	3.40470226903756	12.247234249115
AT1G04007	CHR1	Araport11	gene	72646	73108	.	-	9	5.20666562535546	12.247234249115
AT1G01170	CHR1	Araport11	gene	73931	74737	.	-	10	3.69690131439882	5.54259996414185
AT1G04013	CHR1	Araport11	gene	74435	74683	.	+	11	4.90617830355962	5.54259996414185
AT1G01183	CHR1	Araport11	gene	78927	79037	.	-	12	2.75183538595835	2.97877407073975
AT1G01190	CHR1	Araport11	gene	82984	84946	.	-	13	2.29113377332687	4.55081205368042
AT1G01200	CHR1	Araport11	gene	86486	88409	.	-	14	3.44971073865891	8.26153993606567
AT1G04017	CHR1	Araport11	gene	90169	90401	.	-	15	1.13639359235764	1.29480698108673
AT1G04023	CHR1	Araport11	gene	91356	91685	.	-	16	3.82638659477234	4.92411599159241
AT1G01225	CHR1	Araport11	gene	95935	97407	.	+	17	7.56527231970141	25.2175905227661
AT1G01250	CHR1	Araport11	gene	104440	105330	.	-	18	1.55882845113152	2.48971600532532
AT1G01270	CHR1	Araport11	gene	111890	111961	72	-	19	1.14672819375992	1.20036820173264
AT1G01280	CHR1	Araport11	gene	112263	113947	.	+	20	6.26536220662734	12.0539657115936
AT1G01290	CHR1	Araport11	gene	114202	116407	.	+	21	1.95862784147263	4.12126593589783
AT1G01300	CHR1	Araport11	gene	116784	118845	.	+	22	2.15011267931688	5.65438394546509
AT1G01305	CHR1	Araport11	gene	119381	119997	.	+	23	1.49485339384813	2.38027197122574
AT1G01310	CHR1	Araport11	gene	120154	121130	.	+	24	2.16471967816353	3.89486994743347
AT1G01335	CHR1	Araport11	gene	130736	130858	.	+	25	2.48225053548813	3.16303881406784
AT1G01355	CHR1	Araport11	gene	138489	139680	.	+	26	6.02583744525909	14.7873520851135
AT1G01360	CHR1	Araport11	gene	141870	143261	.	+	27	2.49553431017058	4.50945606231689
AT1G01370	CHR1	Araport11	gene	143489	146479	.	+	28	3.48841531589383	14.0055221557617
