gene_ID	Chromosome	annotation	type	start	end	unknown	strand	segment_no	mean_h2az	max_h2az
AT1G01010	CHR1	Araport11	gene	3631	5899	.	+	1	1.25265387892723	3.06891598701477
AT1G01020	CHR1	Araport11	gene	6788	9130	.	-	2	1.1487112019373	3.57749199867249
AT1G01040	CHR1	Araport11	gene	23121	31227	.	+	3	0.619232104824465	3.57907600402832
AT1G01046	CHR1	Araport11	gene	28500	28706	.	+	4	0.222704364856084	0.292946597933769
AT1G01050	CHR1	Araport11	gene	31170	33171	.	-	5	1.53236357431586	4.53716201782227
AT1G01060	CHR1	Araport11	gene	33365	37871	.	-	6	1.77887762927347	4.76678600311279
AT1G01090	CHR1	Araport11	gene	47234	49304	.	-	7	3.59021211114041	10.8980100631714
AT1G01110	CHR1	Araport11	gene	51953	54737	.	+	8	4.33148780528988	20.9666797637939
AT1G01150	CHR1	Araport11	gene	69911	72138	.	-	9	3.78572885513306	6.48893804550171
AT1G01210	CHR1	Araport11	gene	88622	90502	.	+	10	3.83195049166679	17.8760599136353
AT1G01220	CHR1	Araport11	gene	91342	95681	.	+	11	1.35911026322706	4.92411599159241
AT1G01230	CHR1	Araport11	gene	97412	99240	.	+	12	1.87589620997508	4.7614839553833
AT1G01260	CHR1	Araport11	gene	108946	111699	.	+	13	2.32537788993546	7.07695398330688
AT1G01320	CHR1	Araport11	gene	121067	130577	.	-	14	1.52793293149059	6.44545211791992
AT1G01340	CHR1	Araport11	gene	132270	135924	.	-	15	1.61631211622121	4.98532009124756
AT1G01350	CHR1	Araport11	gene	136090	138162	.	+	16	2.06472267009491	7.4907479763031
AT1G01410	CHR1	Araport11	gene	153113	154198	.	+	17	5.97049503218044	16.9443181037903
AT1G01440	CHR1	Araport11	gene	159628	162953	.	-	18	1.79161302545177	4.12996001243591
AT1G01448	CHR1	Araport11	gene	163278	166353	.	+	19	2.60204495489597	13.1620399475098
AT1G01450	CHR1	Araport11	gene	164105	165517	.	-	20	1.78378834796363	8.3231659412384
AT1G01510	CHR1	Araport11	gene	187145	190472	.	+	21	1.45108856659602	2.94491200447083
AT1G01540	CHR1	Araport11	gene	195645	198787	.	+	22	1.49324416111386	2.48907594680786
AT1G01550	CHR1	Araport11	gene	199527	201775	.	+	23	1.29344728692718	2.66168584823608
AT1G01650	CHR1	Araport11	gene	232840	237905	.	-	24	0.951463451634333	3.53975400924683
AT1G01660	CHR1	Araport11	gene	239841	242703	.	-	25	4.10374879544241	15.3292457580566
AT1G01670	CHR1	Araport11	gene	242713	246054	.	-	26	3.17423589194522	8.22587008476257
AT1G01690	CHR1	Araport11	gene	249041	252522	.	+	27	1.81307618101718	7.67606391906738
AT1G01695	CHR1	Araport11	gene	252626	254530	.	+	28	1.86974216860074	5.21428804397583
AT1G01710	CHR1	Araport11	gene	262828	266324	.	+	29	2.29653485660042	22.6758600234985
AT1G01730	CHR1	Araport11	gene	270797	272189	.	+	30	3.14578382650326	11.8307879924774
AT1G01740	CHR1	Araport11	gene	272111	274930	.	-	31	2.39428513855265	10.3060879707336
AT1G01750	CHR1	Araport11	gene	275188	276310	.	+	32	1.25662358179688	2.20574803352356
AT1G01760	CHR1	Araport11	gene	276266	278599	.	-	33	2.32061725797805	13.5519760608673
AT1G01770	CHR1	Araport11	gene	278600	282891	.	+	34	1.5285403067867	9.0354040145874
AT1G01790	CHR1	Araport11	gene	284350	291203	.	+	35	1.68543447193911	13.4255497336388
AT1G01820	CHR1	Araport11	gene	296001	298334	.	-	36	1.4937526213996	3.705482006073
AT1G01860	CHR1	Araport11	gene	304133	306310	.	-	37	1.78831920115785	4.59618811607361
AT1G01880	CHR1	Araport11	gene	306467	309541	.	-	38	3.26133448385423	7.12590398788452
AT1G01910	CHR1	Araport11	gene	313101	316090	.	-	39	2.51087642629941	14.310120010376
AT1G01920	CHR1	Araport11	gene	315983	319667	.	+	40	2.65411451101303	11.2084040641785
AT1G01930	CHR1	Araport11	gene	319769	322895	.	-	41	1.63530362220038	6.38107395172119
