segment_no	gene_ID	chromosome	gene_start	gene_end	start	end	mean_h2az	max_h2az
1	AT1G01010	1	3631	5899	5151	5350	0.663245745	1.174270034
2	AT1G01020	1	6788	9130	6981	7799	0.455026935	1.043799996
3	AT1G01040	1	23121	31227	23845	31171	0.447812381	7.306580067
4	AT1G01050	1	31170	33171	31170	32138	0.486447496	1.174270034
5	AT1G01060	1	33365	37871	34474	36403	0.827010826	2.413779974
6	AT1G01090	1	47234	49304	47666	47750	1.129565001	1.201949954
7	AT1G01110	1	51953	54737	54252	54323	0.834038496	0.851191998
8	AT1G01210	1	88622	90502	89552	89886	0.653202002	0.869831026
9	AT1G01220	1	91342	95681	91802	95100	0.669365392	3.951519966
10	AT1G01230	1	97412	99240	98232	98850	0.398790913	0.626278996
11	AT1G01260	1	108946	111699	110386	110900	0.850060089	1.670079947
12	AT1G01320	1	121067	130577	121852	127545	0.512042295	2.435529947
13	AT1G01340	1	132270	135924	132539	134600	0.970992287	3.653290033
14	AT1G01350	1	136090	138162	136853	137657	0.798315304	1.435220003
15	AT1G01440	1	159628	162953	160452	161794	0.532172812	1.304749966
16	AT1G01450	1	164105	165517	164602	165371	0.600331251	1.043799996
17	AT1G01510	1	187145	190472	188036	189700	0.999232503	3.827260017
18	AT1G01530	1	192634	193670	193495	193667	0.313139397	0.521898985
19	AT1G01540	1	195645	198787	197161	197750	0.921183663	2.261559963
20	AT1G01550	1	199527	201775	200741	201250	0.70377271	2.609489918
21	AT1G01640	1	230908	232630	231452	231563	0.841716985	1.101789951
22	AT1G01650	1	232840	237905	233210	236757	0.440680303	2.152829885
23	AT1G01690	1	249041	252522	250322	252176	0.707639604	2.609489918
24	AT1G01695	1	252626	254530	253330	253406	0.835213999	0.887228012
25	AT1G01700	1	259307	261667	260252	260359	1.132605692	1.470810056
26	AT1G01710	1	262828	266324	263928	265900	0.58993017	2.609489918
27	AT1G01730	1	270797	272189	271952	272171	0.545384994	1.304749966
28	AT1G01740	1	272111	274930	272161	273874	0.896195086	2.21807003
29	AT1G01750	1	275188	276310	275652	276272	0.756754073	1.304749966
30	AT1G01760	1	276266	278599	276266	277550	0.469315187	0.869831026
31	AT1G01770	1	278600	282891	279452	282146	0.629570979	3.218379974
32	AT1G01790	1	284350	291203	285352	290500	1.174491403	32.35770035
33	AT1G01820	1	296001	298334	296602	297259	0.431053568	1.043799996
34	AT1G01830	1	298451	302310	299565	300332	1.163814191	2.609489918
35	AT1G01860	1	304133	306310	304652	305256	0.858679834	2.609489918
36	AT1G01910	1	313101	316090	313215	315001	0.502297357	2.087599993
37	AT1G01920	1	315983	319667	317202	319050	0.975391895	4.43614006
38	AT1G01930	1	319769	322895	320402	321629	0.863875353	4.871059895
39	AT1G01940	1	322886	324917	324134	324350	0.930719602	1.174270034
40	AT1G01950	1	325316	330619	326322	330164	0.464711424	4.697090149
41	AT1G01960	1	330588	337912	331019	336779	0.426002114	4.697090149
42	AT1G01970	1	338241	340088	339052	339400	0.508475712	0.695864975
43	AT1G02010	1	347613	352545	348946	352122	0.57343682	3.504179955
44	AT1G02060	1	360918	363142	361128	361950	0.796307537	1.461320043
45	AT1G02080	1	373335	386913	374543	386652	0.279795064	2.087599993
46	AT1G02090	1	387277	389808	387593	388321	0.306639549	0.869831026
47	AT1G02100	1	389812	392816	390739	392202	0.352456679	0.782848001
48	AT1G02110	1	392831	395528	394552	395221	0.470267716	1.384170055
49	AT1G02120	1	395689	400001	396558	399864	0.507040667	2.783459902
50	AT1G02130	1	399983	401919	400653	400842	0.488348253	0.652374029
51	AT1G02145	1	404600	408619	405844	408100	0.3803621	1.043799996
52	AT1G02260	1	440200	442972	441652	441750	0.778867006	0.867480993
53	AT1G02270	1	443118	446296	443752	445240	0.678145192	1.391729951
54	AT1G02280	1	448423	450426	448606	449600	0.638938842	1.223199964
55	AT1G02290	1	450461	452743	451052	452000	0.786031472	1.739660025
56	AT1G02305	1	455688	458164	456744	457666	0.770299753	2.870440006
57	AT1G02330	1	461946	463618	462086	462791	0.619742805	0.939418018
58	AT1G02410	1	490860	492979	491702	492523	0.520381995	1.174270034
59	AT1G02420	1	493639	495158	494352	495154	0.488235936	0.864395022
60	AT1G02430	1	495050	496332	495055	495650	0.575617911	1.217759967
61	AT1G02500	1	518091	520495	519402	519950	0.298912909	0.572703004
62	AT1G02560	1	537740	540127	538652	539808	1.032687252	3.479330063
63	AT1G02660	1	571826	575085	572364	573242	0.797441173	1.913630009
64	AT1G02690	1	584134	587327	585253	586450	0.854026789	2.609489918
65	AT1G02740	1	599330	602199	599802	601101	0.651672417	1.670079947
66	AT1G02750	1	602489	604387	603538	604038	0.468995635	1.043799996
67	AT1G02840	1	626639	629993	627399	629550	0.325771064	1.565700054
68	AT1G02860	1	635144	637262	636802	637203	0.918717669	1.416579962
69	AT1G02870	1	637214	638681	637416	637666	0.891819328	1.565700054
70	AT1G02880	1	642505	644903	643126	643504	0.713867555	1.148180008
71	AT1G02890	1	645084	652001	645514	650862	0.375469796	1.652680039
72	AT1G02910	1	655568	658216	656852	657300	0.675569445	1.043799996
73	AT1G02960	1	666807	669919	667156	669050	0.476043049	1.304749966
74	AT1G02990	1	681331	687385	681728	686477	0.397882771	3.261869907
75	AT1G03000	1	687795	692660	688197	691600	0.597979608	3.131390095
76	AT1G03030	1	701365	703929	702502	703506	0.635502282	1.252560019
77	AT1G03060	1	712440	727553	712826	726295	0.413253199	4.871059895
78	AT1G03080	1	731554	738306	732366	736992	0.530313634	6.262790203
79	AT1G03090	1	739544	744184	740700	744151	0.521394077	2.191979885
80	AT1G03100	1	743885	746701	743901	745450	0.71662932	2.162149906
81	AT1G03110	1	749246	751976	750152	751000	0.590284582	1.130779982
82	AT1G03140	1	754261	756303	754952	755363	0.569417336	0.913322985
83	AT1G03150	1	756414	758678	757238	758296	0.850603357	3.653290033
84	AT1G03160	1	761261	766194	762602	765950	0.817252104	2.609489918
85	AT1G03180	1	773358	775362	774354	774938	0.94011416	1.391729951
86	AT1G03190	1	775527	780062	776430	779750	0.600164135	2.783459902
87	AT1G03210	1	782904	784346	783657	783831	0.865273997	1.118350029
88	AT1G03250	1	793315	795403	793644	794250	0.56816777	1.356940031
89	AT1G03260	1	795449	798491	795952	797568	0.448659063	1.391729951
90	AT1G03270	1	799115	802625	801002	801500	1.068339515	1.478710055
91	AT1G03280	1	802970	807066	803580	806550	0.542588187	2.609489918
92	AT1G03290	1	807361	813216	808238	810950	0.544255306	1.913630009
93	AT1G03310	1	813413	816812	814252	816350	0.623639406	1.826650023
94	AT1G03320	1	816989	817767	817356	817550	0.620024502	0.703014016
95	AT1G03330	1	817934	819563	818190	818339	0.655272767	0.869831026
96	AT1G03360	1	824517	826399	825502	825850	1.199354419	2.609489918
97	AT1G03365	1	826523	830393	827357	830000	0.455597417	1.739660025
98	AT1G03370	1	830550	835411	831702	835049	0.559113207	3.914239883
99	AT1G03380	1	835767	841373	836720	840683	0.394493981	2.609489918
100	AT1G03430	1	847793	849621	848859	849244	0.465560365	0.633733988
101	AT1G03457	1	860761	864372	861282	862600	0.656220182	1.565700054
102	AT1G03475	1	868853	871308	869317	869959	0.683406858	1.913630009
103	AT1G03520	1	877861	880259	878602	879279	0.539273924	1.696169972
104	AT1G03530	1	880384	883599	880654	882650	0.792329769	2.505110025
105	AT1G03540	1	883683	885611	884802	885565	0.578890251	1.060109973
106	AT1G03550	1	885623	887956	885627	887583	0.634613721	4.175189972
107	AT1G03560	1	890155	892492	890752	891600	0.660547937	1.043799996
108	AT1G03590	1	894238	897718	895002	895500	0.929936102	1.565700054
109	AT1G03610	1	900732	903070	902195	902300	0.60529233	0.969241023
110	AT1G03687	1	918285	920592	919225	920200	0.680614849	1.217759967
111	AT1G03740	1	933426	937152	934502	935974	0.454507765	0.869831026
112	AT1G03750	1	937826	941162	939052	941135	0.706757524	2.609489918
113	AT1G03760	1	941062	943377	941134	942439	0.812286257	1.87883997
114	AT1G03770	1	944572	947682	945747	947504	0.456044674	1.304749966
115	AT1G03780	1	947520	951850	947808	947857	0.61796248	0.633733988
116	AT1G03830	1	961684	966790	963102	966000	0.943850174	4.175189972
117	AT1G03860	1	979307	982002	979702	981251	0.829124331	3.653290033
118	AT1G03900	1	991106	993126	992265	992800	0.502732908	1.983219981
119	AT1G03905	1	993400	995989	994289	995250	0.615166997	1.391729951
120	AT1G03910	1	996076	1000629	996606	1000200	0.412734989	1.739660025
121	AT1G03930	1	1004688	1008370	1006417	1008050	0.491134724	1.217759967
122	AT1G03940	1	1009228	1011145	1010349	1010450	0.294226994	0.337060004
123	AT1G03960	1	1013643	1017957	1014658	1017250	0.368325111	1.416579962
124	AT1G03980	1	1019311	1022108	1019961	1021050	0.936538669	3.914239883
125	AT1G03990	1	1024740	1027616	1026107	1026250	0.598502666	0.773760974
126	AT1G04010	1	1030957	1036264	1032052	1035375	0.409989004	0.969241023
127	AT1G04020	1	1036493	1040262	1038002	1038200	0.977724478	1.304749966
128	AT1G04030	1	1040375	1042892	1041802	1041900	0.874180496	0.913322985
129	AT1G04050	1	1045598	1049864	1046552	1048100	1.140026097	3.566309929
130	AT1G04080	1	1051312	1056827	1052152	1056541	0.30156399	1.304749966
131	AT1G04100	1	1059470	1061209	1060452	1060830	0.848135747	1.148180008
132	AT1G04120	1	1064264	1071080	1065202	1069936	0.377635686	2.087599993
133	AT1G04130	1	1073274	1075568	1074152	1075121	0.657539397	2.087599993
134	AT1G04140	1	1075543	1080630	1075831	1080117	0.670724927	7.828479767
135	AT1G04160	1	1086170	1096510	1087402	1095650	0.389895375	2.022360086
136	AT1G04170	1	1096882	1099901	1097740	1099500	0.677208042	6.523739815
137	AT1G04190	1	1106354	1108725	1106802	1107499	0.578719281	1.148180008
138	AT1G04200	1	1109395	1114155	1110465	1113690	0.548722575	2.609489918
139	AT1G04210	1	1114375	1119739	1115470	1119336	0.410695861	4.175189972
140	AT1G04230	1	1125515	1128788	1126123	1127870	0.661481082	2.087599993
141	AT1G04300	1	1148564	1154667	1149402	1153650	0.495937593	3.548909903
142	AT1G04310	1	1154740	1157813	1155902	1156050	0.721026003	0.735008001
143	AT1G04340	1	1162905	1164861	1163396	1164150	0.729288997	1.565700054
144	AT1G04370	1	1175033	1175768	1175299	1175366	0.903045317	0.964721978
145	AT1G04390	1	1179310	1183704	1179596	1183000	0.484158448	1.826650023
146	AT1G04400	1	1185512	1188696	1185818	1187300	0.948445067	3.205950022
147	AT1G04410	1	1188995	1191458	1189589	1190618	0.823890638	2.087599993
148	AT1G04440	1	1202160	1206009	1203139	1205562	0.962525159	14.09130001
149	AT1G04510	1	1226483	1230947	1227224	1230646	0.488707067	3.827260017
150	AT1G04530	1	1234176	1236206	1234681	1234980	0.466678287	0.643675029
151	AT1G04570	1	1246601	1248876	1247287	1247600	1.046904709	1.435220003
152	AT1G04590	1	1258556	1261470	1259052	1260550	0.900930801	2.389750004
153	AT1G04620	1	1282163	1286619	1282654	1285520	0.598943239	1.565700054
154	AT1G04625	1	1287831	1289820	1289002	1289750	0.276882463	0.695864975
155	AT1G04690	1	1313443	1315823	1314900	1315249	0.913167506	1.739660025
156	AT1G04700	1	1316139	1321000	1317502	1319800	1.186454976	5.740890026
157	AT1G04710	1	1321885	1324840	1323752	1324000	0.438849205	0.468174011
158	AT1G04750	1	1331466	1333651	1331652	1332435	0.709523749	2.609489918
159	AT1G04780	1	1340553	1343793	1341146	1342550	0.954814281	2.000610113
160	AT1G04790	1	1344989	1348868	1345702	1348163	0.652551748	4.697090149
161	AT1G04800	1	1348452	1349478	1348877	1349049	0.53785225	0.57702899
162	AT1G04810	1	1350080	1355466	1350968	1355234	0.475373074	2.609489918
163	AT1G04830	1	1358574	1362019	1359177	1360600	0.444497856	1.670079947
164	AT1G04840	1	1362227	1365027	1363960	1364050	0.969239473	1.416579962
165	AT1G04850	1	1365107	1368940	1365385	1367929	0.495482677	2.348550081
166	AT1G04860	1	1369036	1373103	1369402	1372277	0.673345169	3.392339945
167	AT1G04870	1	1373234	1375821	1373952	1374800	0.50615582	0.945941985
168	AT1G04900	1	1383841	1387895	1387152	1387820	0.817168423	1.565700054
169	AT1G04910	1	1387871	1391381	1387984	1390300	0.474699187	1.652680039
170	AT1G04920	1	1391434	1395953	1392852	1393150	0.522325665	0.656100988
171	AT1G04930	1	1396265	1399122	1396652	1397901	0.566269838	1.304749966
172	AT1G04950	1	1403085	1407531	1403100	1406800	0.363865769	1.640249968
173	AT1G04960	1	1407772	1410933	1408138	1410143	0.467528582	1.565700054
174	AT1G04970	1	1411088	1413627	1411902	1413200	0.491138687	1.095989943
175	AT1G04985	1	1416342	1419027	1416657	1417721	0.899881124	4.871059895
176	AT1G05030	1	1438048	1441933	1438602	1440300	0.399117142	1.174270034
177	AT1G05055	1	1448631	1450901	1449031	1449750	1.110221662	3.966429949
178	AT1G05070	1	1457007	1458802	1457352	1457558	0.731155396	0.82012701
179	AT1G05090	1	1464239	1465875	1464272	1465581	0.650440683	0.835038006
180	AT1G05120	1	1471323	1476289	1471967	1475550	0.647424367	3.235769987
181	AT1G05150	1	1484067	1487027	1485052	1485700	0.744837148	1.435220003
182	AT1G05160	1	1487378	1491005	1487711	1489924	0.742824976	2.413779974
183	AT1G05170	1	1490974	1494248	1491752	1492584	0.483259173	1.565700054
184	AT1G05180	1	1498114	1501953	1498417	1501015	0.491192675	1.565700054
185	AT1G05200	1	1504941	1509152	1507202	1509128	0.61292608	1.739660025
186	AT1G05205	1	1509103	1510341	1509127	1509547	0.778455105	1.304749966
187	AT1G05230	1	1512896	1518900	1513336	1514050	0.823952734	1.461320043
188	AT1G05270	1	1531641	1534767	1532002	1533403	0.547099029	1.304749966
189	AT1G05320	1	1553568	1557848	1555652	1556400	1.109395874	1.565700054
190	AT1G05350	1	1560678	1564409	1560911	1563350	0.472990263	1.565700054
191	AT1G05360	1	1564491	1567508	1565436	1567138	0.687856199	1.304749966
192	AT1G05380	1	1576822	1582672	1577602	1582337	0.349224472	1.304749966
193	AT1G05410	1	1585371	1587794	1585383	1587050	0.924634049	2.400729895
194	AT1G05460	1	1601148	1605034	1601452	1603350	0.731776291	1.897809982
195	AT1G05470	1	1607202	1611840	1610002	1610100	0.721646011	0.738390028
196	AT1G05500	1	1624919	1629289	1625793	1628628	0.3907416	1.043799996
197	AT1G05520	1	1630849	1636018	1631291	1634732	0.371083401	0.835038006
198	AT1G05570	1	1647575	1659611	1648252	1658200	0.528556452	3.653290033
199	AT1G05600	1	1671916	1673923	1672702	1673579	0.796364443	1.913630009
200	AT1G05620	1	1678881	1681710	1679834	1681150	0.871809223	2.609489918
201	AT1G05630	1	1682224	1687363	1683729	1687258	0.853377984	6.088819981
202	AT1G05640	1	1687436	1689955	1687465	1688600	0.822937312	1.826650023
203	AT1G05670	1	1697541	1701065	1698138	1700282	0.540676727	1.217759967
204	AT1G05700	1	1709673	1713474	1711402	1711500	0.904003501	0.913322985
