chromosome	gene_start	gene_end	gene_ID	start	end	segment_no	mean_h2az	max_h2az
CHR1	3631	5899	AT1G01010	5407	5501	1	1.84947668	2.002784777
CHR1	6788	9130	AT1G01020	7001	7114	2	0.294831328	0.310134393
CHR1	23121	31227	AT1G01040	23997	30899	3	0.43229199	2.887837982
CHR1	31170	33171	AT1G01050	31466	32161	4	0.458967104	0.580549803
CHR1	33365	37871	AT1G01060	34991	36151	5	0.646111668	0.992467403
CHR1	44970	47059	AT1G01080	45790	45833	6	2.555150008	2.790750003
CHR1	47234	49304	AT1G01090	47909	47954	7	2.746332014	2.751014018
CHR1	51953	54737	AT1G01110	54299	54365	8	1.269744805	1.861733222
CHR1	69911	72138	AT1G01150	70654	71515	9	2.99461823	6.204464054
CHR1	69911	72138	AT1G01150	71877	71929	10	3.752644992	3.845275974
CHR1	88622	90502	AT1G01210	89843	89901	11	0.825014305	0.839926201
CHR1	91342	95681	AT1G01220	92657	95427	12	0.841307148	4.814760017
CHR1	97412	99240	AT1G01230	98011	98665	13	0.732844136	2.035110068
CHR1	108946	111699	AT1G01260	110521	110898	14	0.969241548	1.094248796
CHR1	108946	111699	AT1G01260	110973	111219	15	1.894922558	2.207498002
CHR1	121067	130577	AT1G01320	121581	127471	16	0.577584715	2.16153121
CHR1	132270	135924	AT1G01340	132535	132583	17	0.428381801	0.448334402
CHR1	132270	135924	AT1G01340	132965	133247	18	0.871553697	1.21759721
CHR1	132270	135924	AT1G01340	134333	134884	19	1.29674682	1.980315995
CHR1	136090	138162	AT1G01350	137001	137715	20	0.824576247	1.107796395
CHR1	153113	154198	AT1G01410	154105	154131	21	1.962297988	1.962297988
CHR1	159628	162953	AT1G01440	160121	161855	22	1.035515754	4.129960012
CHR1	163278	166353	AT1G01448	164701	166042	23	0.6382546	1.623590589
CHR1	164105	165517	AT1G01450	164701	166042	24	0.6382546	1.623590589
CHR1	187145	190472	AT1G01510	188509	189265	25	0.974708279	2.364944029
CHR1	195645	198787	AT1G01540	197096	197882	26	1.083191417	2.241265965
CHR1	199527	201775	AT1G01550	200921	201017	27	0.579888054	0.608882385
CHR1	199527	201775	AT1G01550	201391	201453	28	2.451682639	2.661685848
CHR1	232840	237905	AT1G01650	233426	236641	29	0.455260995	1.634324801
CHR1	239841	242703	AT1G01660	240929	241879	30	2.302503698	3.016575956
CHR1	239841	242703	AT1G01660	242615	242703	31	3.949534035	4.556676054
CHR1	242713	246054	AT1G01670	242713	244017	32	3.019820613	5.38338964
CHR1	242713	246054	AT1G01670	244763	244875	33	1.614953343	1.854938006
CHR1	249041	252522	AT1G01690	250890	251505	34	0.752314746	1.27865237
CHR1	252626	254530	AT1G01695	253341	253390	35	0.8142682	0.897772002
CHR1	262828	266324	AT1G01710	264225	265699	36	0.537030666	1.146618783
