gene_ID	segment_number	seed	N_CG	L_locus	CG_density	Col0_meth_frac	CG_spacing	mean_h2az	max_h2az	locus_gain_rate_mu	locus_gain_rate_sigma	locus_loss_rate_mu	locus_loss_rate_sigma
AT2G42710	5842	23367	62	2755	0.022141560798548093	0.03225806451612903	45.16393442622951	2.57570276659514	11.856992149353001	9.531590413943353e-06	4.71691396396753e-06	0.0	0.0
AT2G42720	5843	23371	39	2005	0.018952618453865335	0.13157894736842105	52.76315789473685	2.8282923897107404	6.534173965454099	0.0	0.0	7.761437908496732e-05	6.168165388293095e-05
AT2G42730	5844	23375	38	2081	0.0177799135031235	0.21052631578947367	56.24324324324324	2.3298014564947596	3.2109220027923597	8.850762527233116e-06	6.8082788671023955e-06	7.148692810457517e-05	3.5376854729756476e-05
AT2G42750	5845	23379	70	2439	0.028290282902829027	0.10294117647058823	35.34782608695652	1.35639190363884	4.24838805198669	0.0	0.0	1.7507002801120447e-05	3.5014005602240894e-05
AT2G42780	5846	23383	62	2404	0.025374376039933443	0.03225806451612903	39.40983606557377	1.7959780894658102	5.839074039459231	8.510348583877995e-06	5.489009904887356e-06	0.00010212418300653594	0.00012254901960784314
AT2G42790	5847	23387	78	3223	0.023890784982935155	0.19480519480519481	41.857142857142854	1.21713845133781	3.3791040420532203	1.35067467847354e-05	2.7165728610700387e-06	2.7233115468409585e-05	1.8867655855870122e-05
AT2G42810	5848	23391	66	4516	0.014393268379096545	0.18181818181818182	69.47692307692309	0.712825575995506	4.17518992424011	9.455942870975552e-06	6.098899894319286e-06	0.00010042211328976035	2.570068911788791e-05
AT2G42830	5849	23395	55	3294	0.01639344262295082	0.037037037037037035	61.0	2.6918433008314704	6.075445890426639	0.0	0.0	0.0	0.0
AT2G42835	5850	23399	45	2591	0.016981860285604014	0.045454545454545456	58.88636363636363	2.63245382287286	6.075445890426639	0.0	0.0	0.0004901960784313725	0.0
AT2G42840	5851	23403	16	1149	0.013054830287206266	0.0	76.60000000000001	4.19393243677914	10.142246055603	0.0	0.0	nan	nan
AT2G42850	5852	23407	29	2087	0.013416387158600862	0.03571428571428571	74.53571428571429	2.74939173654068	4.58028206825256	0.0	0.0	0.0	0.0
AT2G42880	5853	23411	89	4080	0.021568627450980392	0.20454545454545456	46.36363636363637	1.28572821515448	6.1418741226196305	0.0	0.0	3.971496005809731e-05	1.1347131445170659e-05
AT2G42890	5854	23415	100	4635	0.021359223300970873	0.3	46.81818181818182	1.0291297007973002	4.086798048019411	0.0	0.0	4.765795206971678e-06	5.614250579544745e-06
AT2G42910	5855	23419	52	2366	0.021555367709213864	0.125	46.3921568627451	5.795856457710269	23.334099578857398	1.2157640834111422e-05	7.84144272126765e-06	3.404139433551198e-05	4.0849673202614376e-05
AT2G42950	5859	23435	69	2853	0.023834560112162635	0.16176470588235295	41.95588235294118	1.93457221322019	5.54679002761841	2.5083132668271986e-06	2.9548687260761814e-06	5.570409982174688e-06	1.1140819964349376e-05
AT2G42960	5860	23439	44	3028	0.014200792602377808	0.023255813953488372	70.4186046511628	2.4392934020927997	4.03297400474548	0.0	0.0	0.0	0.0
AT2G42980	5861	23443	43	1763	0.0238230289279637	0.40476190476190477	41.976190476190474	3.3688457436031802	9.48746194839478	8.169934640522877e-06	9.803921568627451e-06	7.689350249903882e-05	2.7185958523127547e-05
AT2G43020	5862	23447	100	3003	0.03296703296703297	0.25	30.333333333333332	2.284580758214	8.030278134346009	0.0	0.0	2.5531045751633985e-06	5.106209150326797e-06
AT2G43040	5863	23451	111	3650	0.030136986301369864	0.44954128440366975	33.18181818181818	2.2623863211075497	4.2442041397094705	2.1786492374727668e-05	7.70268824821947e-06	7.086167800453514e-06	8.210665767803876e-06
AT2G43070	5864	23455	92	4440	0.020495495495495494	0.15384615384615385	48.791208791208796	1.3659010669851002	4.07777011394501	7.957728545963841e-07	1.5915457091927684e-06	7.002801120448179e-05	0.0
AT2G43080	5865	23459	58	3222	0.017690875232774673	0.017241379310344827	56.526315789473685	1.35577647267044	5.122139930725099	0.0	0.0	0.0	0.0
AT2G43140	5866	23463	101	4277	0.02338087444470423	0.020618556701030927	42.77	1.59747452198005	5.02662587165833	0.0	0.0	0.0	0.0
AT2G43150	5867	23467	41	1464	0.0273224043715847	0.0	36.6	2.28460973808842	4.4993899822235095	0.0	0.0	nan	nan
AT2G43160	5868	23471	121	5684	0.0211118930330753	0.4444444444444444	47.36666666666667	0.862803744055143	3.99654803276062	9.42684766214178e-07	1.885369532428356e-06	5.77394419306184e-05	2.3567119155354434e-06
AT2G43180	5869	23475	72	2264	0.03136042402826855	0.2222222222222222	31.887323943661972	3.6105643733714996	23.4077571868896	0.0	0.0	0.0	0.0
AT2G43190	5870	23479	37	1892	0.019027484143763214	0.08108108108108109	52.55555555555556	2.89208642322084	6.14536008834839	0.0	0.0	0.0	0.0
AT2G43200	5871	23483	50	2243	0.021845742309407043	0.26	45.775510204081634	2.6661467557916296	7.9881800651550305	1.6560678325384208e-06	3.3121356650768417e-06	0.0	0.0
AT2G43210	5872	23487	77	3052	0.02490170380078637	0.12987012987012986	40.15789473684211	2.03859998082358	5.957881927490231	8.535752609501513e-06	4.224102057284356e-06	0.00010416666666666666	3.0840826941465475e-05
